objname,ra,dec,distance,distance_err
Segue 1,151.7633333,16.07361111,0.02,0.001
Segue 3,320.3791667,19.11722222,0.02,0.001
Segue 2,34.81666667,20.17527778,0.03,0.002
Triangulum II,33.3225,36.17833333,0.03,0.002
UMa II,132.875,63.13,0.03,0.002
BootesII,209.5333333,12.84833333,0.04,0.002
ComaI,186.7433333,23.91166667,0.04,0.002
Willman1,162.3375,51.05,0.04,0.002
BootesIII,209.3,26.8,0.05,0.003
UGC09749,227.2948005,67.2136217,0.06,0.004
BootesI,210.0208333,14.50416667,0.07,0.004
Sgr II,298.1645833,-21.935,0.07,0.004
Draco,260.0058333,57.90944444,0.08,0.005
UGC10822,260.0555295,57.9271408,0.081,0.003
ESO351-030,15.03885,-33.709,0.09,0.005
PGC088608,153.2622,-1.6145,0.09,0.005
Virgo I,180.04,-0.68,0.09,0.005
UMa I,158.7033333,51.935,0.1,0.006
Aquarius 2,338.48125,-9.3275,0.11,0.006
Crater 2,177.31,-18.41305556,0.12,0.007
Hydra II,185.4254167,-31.98527778,0.13,0.008
Fornax,39.97791667,-34.52583333,0.14,0.008
ESO356-004,39.9971505,-34.4491667,0.141,0.01
Hercules,247.765,12.79,0.15,0.009
CVnII,194.2916667,34.32083333,0.16,0.009
LeoIV,173.2375,-0.53333333,0.16,0.009
Crater,174.0658333,-10.87777778,0.17,0.01
Columbia I,82.85708333,-27.9575,0.18,0.011
LeoV,172.79,2.22,0.18,0.011
PiscesII,344.6291667,5.9525,0.18,0.011
BootesIV,233.6891667,43.72611111,0.21,0.012
Pegasus III,336.0941667,5.42,0.21,0.012
CVnI,202.0145833,33.55583333,0.22,0.013
Cetus III,31.33083333,-4.27,0.25,0.015
UGC06253,168.36876,22.1551964,0.25,0.015
UGC05470,152.1159945,12.3077493,0.26,0.015
AGC198606,142.519635,16.6511806,0.378,0.035
LeoT,143.7225,17.05138889,0.42,0.025
And XVI,14.87416667,32.37666667,0.52,0.031
NGC6822,296.237433,-14.8003417,0.52,0.031
And XXIV,19.625,46.36611111,0.6,0.035
And X,16.64041667,44.80444444,0.63,0.037
Bol520,12.67666667,32.91638889,0.63,0.037
And II,19.12416667,33.41916667,0.65,0.038
And XXVIII,338.1716667,31.21611111,0.65,0.038
PGC003792,15.9796665,21.8878333,0.65,0.038
NGC0185,9.7415835,48.3374306,0.66,0.039
And XXX,9.14541667,49.64666667,0.68,0.04
And XI,11.58333333,33.80138889,0.73,0.043
And XIV,12.89583333,29.69694444,0.73,0.043
And XXIII,22.34083333,38.71888889,0.73,0.043
And XXIX,359.7316667,30.75555556,0.73,0.043
PGC002666,11.4163425,38.0388885,0.73,0.043
PGC002121,8.879583,36.501944,0.737,0.014
And XVII,9.27916667,44.32222222,0.74,0.044
UGC05364,149.8600005,30.7463889,0.74,0.044
And III,8.89083333,36.49777778,0.75,0.044
And XV,18.57791667,38.1175,0.76,0.045
And XXVI,5.94,47.91611111,0.76,0.045
IC1613,16.199166,2.1177314,0.76,0.045
Lac I,344.5679167,41.29111111,0.76,0.045
NGC0147,8.3004165,48.5088889,0.76,0.045
NGC0224,10.6846845,41.2689778,0.77,0.045
Cas III,8.9975,51.55972222,0.78,0.046
PAndAS-01,359.3,43.55222222,0.78,0.046
PAndAS-02,359.4816667,41.78027778,0.78,0.046
PAndAS-03,0.985,40.88861111,0.78,0.046
PAndAS-04,1.17875,47.36166667,0.78,0.046
PAndAS-05,1.35041667,43.92638889,0.78,0.046
PAndAS-50,15.46083333,48.30527778,0.78,0.046
PAndAS-55,19.835,46.05333333,0.78,0.046
PAndAS-56,20.76458333,41.91972222,0.78,0.046
PAndAS-57,21.94791667,40.67972222,0.78,0.046
PAndAS-58,22.25875,40.78555556,0.78,0.046
PAndAS-C02,16.97458333,48.37833333,0.78,0.046
And IX,13.22,43.2,0.79,0.047
And XXII,21.91666667,28.09027778,0.79,0.047
IC0010,5.10208333,59.29166667,0.79,0.047
NGC0221,10.6741035,40.8651653,0.79,0.047
PGC3097691,6.5452485,-11.0472805,0.79,0.047
Perseus I,45.34833333,40.98833333,0.79,0.047
And XX,1.87791667,35.13222222,0.8,0.047
NGC0205,10.092075,41.6853283,0.8,0.047
ANDROMEDA05,17.571111,47.6287963,0.81,0.048
And XXV,7.53708333,46.85194444,0.81,0.048
ANDROMEDA06,357.9441585,24.5835137,0.82,0.048
PAndAS-48,14.8675,31.48611111,0.82,0.048
PGC2807155,351.631203,50.6811355,0.82,0.048
And XII,11.8625,34.37472222,0.83,0.049
And XXVII,9.36291667,45.38694444,0.83,0.049
And XIII,12.9625,33.00444444,0.84,0.049
And XXI,358.69875,42.47083333,0.86,0.051
And XIX,4.88375,35.04361111,0.93,0.055
NGC0598,23.462121,30.6599252,0.93,0.055
Pegasus,352.1420833,14.74666667,0.97,0.057
PGC000143,0.492408,-15.4608968,0.98,0.058
PGC065367,311.7155715,-12.8476683,0.98,0.058
UGC12613,352.150842,14.7428937,1.07,0.05
ESO594-004,292.495875,-17.6790001,1.08,0.064
SDSSJ033459.78-004954.1,53.74918287,-0.83171054,1.122,4.398
